lookback,type,profit_factor,log_profit_factor,mean_return,sharpe,n_trades,runs_z_score
12,All Trades,0.9913834343775244,-0.008653902857916207,-2.144026693096306e-05,-0.002551611666443819,43691.0,
12,After Loser,1.0181314565796493,0.0179690419915346,4.364734640488975e-05,0.005231686578131462,30828.0,
12,After Winner,0.9348985629513135,-0.06731724440091262,-0.00017439601410337846,-0.0204244734498234,12840.0,
12,Runs Z-Score,,,,,,3.018018990453959
18,All Trades,1.011787684846492,0.011718751272164587,2.9025693417599572e-05,0.0034548801792442757,43691.0,
18,After Loser,1.0401289328557124,0.03934467936887593,9.643461686613047e-05,0.011403286602821696,30370.0,
18,After Winner,0.9502191314154877,-0.05106265633866836,-0.00012901303174783286,-0.015647680897417384,13262.0,
18,Runs Z-Score,,,,,,2.542520638410849
24,All Trades,1.0112177539473395,0.011155301561845923,2.7623794213468777e-05,0.003288396216681364,43691.0,
24,After Loser,1.02884375401027,0.028435602767047454,6.826813524628552e-05,0.008237784918263102,29952.0,
24,After Winner,0.9762402005081413,-0.024046615770409976,-6.326460136799698e-05,-0.007348619018443467,13661.0,
24,Runs Z-Score,,,,,,2.8329931980532845
30,All Trades,1.0137634836224994,0.013669627096392243,3.384982465169267e-05,0.004029567275679977,43691.0,
30,After Loser,1.030810139907877,0.03034503667811079,7.360472637771675e-05,0.00881753270861818,29248.0,
30,After Winner,0.9811988878013403,-0.018980100107066977,-4.8762744470526016e-05,-0.005754534200510089,14365.0,
30,Runs Z-Score,,,,,,0.9241700049483231
36,All Trades,1.0276254152849518,0.027250718611184988,6.74772855052386e-05,0.008032857757217612,43691.0,
36,After Loser,1.0461059923144114,0.04507469159360691,0.0001099629702500386,0.013094149856568767,28888.0,
36,After Winner,0.993165266971602,-0.006858196789661517,-1.7405012372899916e-05,-0.002078977711694535,14725.0,
36,Runs Z-Score,,,,,,0.8743907465558973
42,All Trades,1.0300431258692822,0.029600671141031886,7.327183357742934e-05,0.008727390842224321,43691.0,
42,After Loser,1.042727254179431,0.04183964055509181,0.0001007575975558067,0.01255499266191841,28686.0,
42,After Winner,1.005610074134747,0.005594396277478307,1.4482011009042622e-05,0.0016027011452394897,14847.0,
42,Runs Z-Score,,,,,,-0.22060559354651543
48,All Trades,1.0361474897052032,0.035509498284728123,8.789271952438618e-05,0.010468737154131255,43691.0,
48,After Loser,1.0469745347447421,0.045904609476797746,0.00010838866845444729,0.013748036516195673,29134.0,
